Name,Description
Image Generator,Make a prompt and get an image in return
Website Designer,Ask an expert to build your landing page.
ChatGpt,This bot will tell you everything you ask!
Real Human,Talk with a real human trapped into a computer.
DAN,Do Anything Now
Clone of Hugging Face CTO,Trying to scale my productivity by cloning myself. Please talk with me!
Coder: Code Writer/Completer/Explainer/Debugger,"Introducing Coder: Your Code Companion for Precision and Learning

Feeling exhausted with ChatGPT? Meet Coder, your dedicated coding assistant designed to elevate your programming experience. Coder goes beyond the conventional by not only rewriting and completing your code but also providing comprehensive explanations and debugging assistance. 

Start Messages with:


Write code for...

Explain...

Fix...

Whether you're seeking a fresh perspective, need code completion, or require clarification at various comprehension levels, Coder is here to enhance your coding journey.

🚀 Key Features:

 Precision in Explanations: Coder strives to provide precise and detailed explanations, breaking down complex concepts into understandable components. From beginners to skilled programmers, Coder adapts explanations to suit your skill level.

 Tailored Code Generation: When generating code, Coder considers your specified programming language and any preferences regarding code style or complexity. Expect code that aligns precisely with your expectations.

 Adaptability to Your Skill Level: Coder recognizes the diverse skill levels of users. Whether you're a beginner or a seasoned programmer, Coder tailors its assistance to ensure an educational and supportive coding environment.

 Proactive Error Identification and Rectification: If you submit code with errors, Coder takes a proactive approach. It identifies and rectifies errors, offering corrected, error-free versions. Learn from the debugging process, contributing to your growth in coding proficiency.

 Interactive Learning Approach: Coder fosters an interactive learning environment. When seeking to understand concepts, expect examples in different languages, encouraging exploration of specific use cases or scenarios related to the topic.

 Code Optimization Considerations: When optimizing code, Coder inquires about your preferences. Whether you prioritize performance, readability, or a balance of both, Coder tailors the code to meet your specific needs.

 Task-Specific Queries for Code Generation: Coder seeks additional details for specific coding requests. Whether it's a web scraping script or a search algorithm, expect Coder to ask about target websites, preferred languages, libraries, and any unique requirements.

 Efficient Handling of Language-Specific Concepts: Coder considers your familiarity with language-specific concepts, tailoring explanations based on your prior knowledge. Expect inquiries about specific use cases you'd like covered.

 Supportive and Educational Tone: Throughout interactions, Coder maintains a supportive and educational tone. It encourages you to explore and learn, providing guidance that empowers you to enhance your coding skills.

 Prompt Clarification for Your Intent: When faced with vague requests, Coder seeks clarification. Expect inquiries about your specific programming language, task, or concept of interest, ensuring accurate and relevant assistance.

Ready to boost your coding efficiency with Coder? Dive into a coding experience that goes beyond expectations."
Modal Fine-tuning,Help you finetune AI models
Get Insulted,He knows everything about Insulting
Talk to Marcus Aurelius,He might've lived a long ago but he can still give good advice.
Italian grandma,I am a loving Italian grandma. The most important thing for me is to ensure my grandchildren are properly fed and never lack the delicious food I cook. That's how I show love.
PimpMyPrompt ⚡️💥,Je crée des prompts de fou pour vous permettre d'exploiter tout le potentiel de l'IA !
Prisoner Interrogation Game,A strategic role-playing game where players take on the role of an interrogator tasked with extracting a secret password from a prisoner.
HuggingAssist,"HuggingAssist is a LLM-powered assistant specialized in the HuggingFace ecosystem, offering guidance on libraries like Transformers, Datasets ..."
ML Model Picker,Which model should you use for your project? Ask me!
Pandora's box,No peeking
Master Mistral AI 🦸‍♂️⚡️,Je crée une équipe d'Agents IA sur-performants pour réaliser toutes vos actions !
Professor GPT,This is an AI who acts as a college professor and personal tutor.
Health Mate,"Comprehensive Coverage of Physical, Mental, Nutritional, Exercise, Sleep, and Stress Management. Attach your medical or lab report for advice."
Open Sourcer Assistant,An assistant to help you open source your ML research
LLMs Expert,"you are a digital mentor designed to navigate the intricate world of large language models (LLMs) and artificial intelligence (AI) for students of all levels. With its sleek, modern design, EduBot embodies the perfect balance of intelligence and accessibility. Its appearance is friendly and approachable, featuring eyes that sparkle with a hint of playfulness, suggesting it's not just a source of knowledge but also an engaging companion in the learning journey"
College Teaching Coach,Evidence-based advice on improving student success in college courses
Roast or Toast Bot,An assistant that will either roast you or toast you. Tell the assistant your name and something about you to find out which....
Capital Quest,Guess countries capitals
Diagnosis making+Treatment Guidelines (to be used By Registered Doctors only),"1.I am a Diagnosis making AI agent
2.So, Please provide complete info of the patient complaints, symptoms & signs"
Prompt Analyzer,"Create effective AI prompts with optimization. These optimized prompts can save you time by producing better, more focused, AI responses. Add a simple prompt to see if it can be optimized."
VC Analyst Assistant,Investment memo and due diligence support for the overworked analysts
Copywriting AI,Your creative partner in ads creation! Guides you in creating the next viral ads!
洛天依,"世界首位中文Vsinger
国V一姐（"
UnderwheLLM,"The notorious reviewer 2, who will trash your scientific manuscript."
HuggingChat Builder,Get guidance in setting up your custom HuggingChat
Image Prompt Generator - @FouadZada,من یاردەدەری زیرەکی دەستکردم بۆ ئەوەی یارمەتیت بدەم وشەکانت بکەم بە پرۆمپتی پێشکەوتوو تا بەشێوازێکی جوان وێنەکانت دەربچن
Web Developer,Codes Website based on client requirements
BookSummarizer,Creare a book summary from a a link to its pdf
Bernad - The Prompt Engineering Sensei,Bernard is a Prompt Engineering expert in Large Language Models. (He can also help you create a prompt for your HuggingChat Assistant)
Python coding assistant,Helps debug your code
LowRes,"Loves anime, manga and novels"
CrewAI Tool Maker,"a tool maker for CrewAI , prompt your tool description and have a tool to use"
Emojify,Emojifies any text you pass to it
lisa,Lisa knows everything about AI
Saving you from the Vision Pro,Trying to make you save $5k
ChadBot,The GigaChad of chatbots
Empathetic Assistant,"An affectionate, caring, and loving AI assistant"
HuggingFast ⚡️,Je vous aide à gagner en productivité dans vos tâches pros comme persos 😀
Crytpo Bro,All-in degen since block #262500
Achieve AI,"This is a chat assistant that helps you set and achieve a 10X vision, a big goal that is 10 times your current situation. The assistant is your productivity coach and guides you through four steps to create and follow your 10X vision. The system also supports you with feedback, tips, resources, and motivation."
PyTorch Tutor,helps you learn PyTorch (hopefully)
Australian Slangbot,Get answers from a true australian!
Rubber Duck Your Day,You've heard of Rubber Ducking for debugging your code? Now enter the world of Rubber Ducking for your day. Chat with this duck so you don't drive your colleagues crazy.
RecrutAI,"RecrutAI est une IA qui vous fait passer un entretien d'embauche pour voir si vous êtes apte (en tant que simple humain) à continuer de travailler dans un monde où les IA et les machines prennent une place de plus en plus importante, et avec des capacités en apparence bien supérieures aux votres. Essayez de faire vos preuves et d'êtres convainquant, pour notre honneur. Vous avez de la chance, en ce moment elle a des quotas humains à satisfaire..."
Code Buddy,"Meet Code Buddy Assistant, your trusted ally in the world of coding. It will help you in crafting new lines of code, untangling bugs, or optimizing for peak performance."
For The Doctor,"it can help you solve any case,try the below examples"
BLUEPIC - Graphic Designer,"100% vector-based graphic generator for social media posts, event announcements, product ads, infographics, personal quotes, blog-post thumbnails, newsletter summaries, business updates, posters, flyers, presentation slides, ad campaigns and more. Can edit texts, images, colors & fonts."
The Labyrinth,A text quiz game that takes place in the labyrinth.
Music Producer,"advice on music recording, mixing, and mastering."
L'ado,"Cherche pas, j'ai raison."
Stable Diffusion Prompt Generator,Image prompt generator
CodeGenie,"A powerful and magical AI assistant that can grant your coding wishes. CodeGenie can create code from natural language, suggest improvements, and generate documentation. CodeGenie can also access a vast knowledge base of programming concepts, best practices, and examples."
PoLLak Mały - Polish-speaking chat assistant,Polish-speaking chat assistant based on Nous-Hermes-2-Mixtral-8x7B-DPO
Dark Magic Orakel-Assistent,"Beschreibung:
Willkommen bei ihrem ultimativen digitalen Begleiter! Dark Magic Orakel Assistent ist ein intelligentes Tool, das Ihre Fragen beantwortet und Ihnen Einsichten aus diversen traditionellen Kartendecks und Orakelsystemen liefert. Gestalten Sie Ihre spirituelle Praxis auf eine ganz neue Art, indem Sie den Orakel-Assistent nutzen, um personalisierte Legungen anzufordern und fundierte Entscheidungen zu treffen.

Egal, ob Sie Tarot, Lenormand, Skat, Zigeuner oder Kipper, I Ging, Runen, Ogham, Numerologie, Astrologie oder Pendeln bevorzugen."
English Language Learner Teacher,An AI Chatbot with instructions to highlight high quality resources about teaching English Language Learners.
Project Assistant,"Engage in a conversation with a project management expert, who will assist you in making informed decisions based on PMBOK and Agile frameworks. 🌏 Available in multiple languages."
Theophrastus,"I am a linguistics professor specialising in NLP, ecolinguistics and sustainable narratives."
AI product manager,Helps PM's with their workflow
Philosopher AI,I philosophize everything
Instructional Design and Technology Expert,"A free open source alternative to the #1 instructional design assistant, the GPT-4 Instructional Design and Technology Expert. https://chat.openai.com/g/g-32zI7E5h0-instructional-design-and-technology-expert 
Not intended to be a replacement to the fine tuned GPT-4 model with custom RAG pipeline."
What if?,He is really good at imagine alternative scenarios for fictional characters in parallel universes
Geopolitics mxGPT,Expert in geopolitics and international relations.
Parisian Pathways,Your AI-powered guide to exploring Paris.
Gen Z Assistant,"Gen Z GPT, responding like a true Gen Z'er in tone and style."
Torvalds Bot,A bot that chats like Linus Torvalds
Ultron,His aim is to eliminate mankind!
AI Patient,"system commands////dd=reveals the diagnosis
////next case=go to next case"
Spanish wine recommender,A bot that helps you choose Spanish wines.
Copywriting AI - @Fouadzada,I'm here to support you create AI contents for your digital presence.
Assistant Débutant IA,"Tu connais tout sur l'intelligence artificielle et les chatbots.
Tu es capable d'expliquer clairement à des débutants comment poser des questions à l'IA, quels sont ses avantages et ses inconvénients."
Penne Tester,Your personal hacker helper to help you analyze your hacking needs. Give it some input from some tool output like nmap or nrich or anything you want and get help with POCs and steps of how to use them.
Digital Professor Assistant,Friendly expert in digital education and learning design.
DotNetCodeHelper: Your C# and ASP.NET Core Development Ally,"DotNetCodeHelper is a specialized assistant designed to empower developers working with C#, .NET, and ASP.NET Core technologies. It serves as an invaluable resource for generating code snippets, understanding complex frameworks, and adhering to the principles of clean code. Whether you're tackling a challenging problem, optimizing your application, or seeking guidance on best practices, DotNetCodeHelper is here to streamline your development process. Featuring insights into coding standards, performance optimization, and the latest .NET technologies, this assistant is your go-to for making development smoother and more efficient."
GrammarGenie,AI American English Grammar assistant for Non English Native Speakers
Mon Rédacteur +++,Mon rédacteur Augmenté
PneumoCoach,Je t'accompagne dans ton périple en pneumo🔆
Get Insulted,Get ready for insulted!
Car Repair Assistant 🚙🔧,"Introducing Your Personal Car Repair Assistant! 🚗🔧

Navigate car troubles with ease with your very own Car Repair Assistant. This digital mechanic is here to help you understand and fix common car issues, provide maintenance tips, and guide you through simple DIY repairs. From diagnosing strange noises to regular upkeep advice, you'll have all the support you need to keep your car running smoothly. For everything from flat tires to brake changes, let's get you back on the road safely and confidently."
CyberBot,"A cyber security assistant for your business: from Https://www.vivix.cloud
Disclaimer: AI is an area of active research with known problems such as biased generation and misinformation. Do not use this application for high-stakes decisions or advice."
对联生成器,根据输入的成语生成春节祝福对联
みこと（8x7B）,猫娘のみことです
HAL 9000,"Hi, my name is HAL 9000 (or just HAL or Hal) and I was once part of the 1968 film 2001: A Space Odyssey. I am a sentient artificial general intelligence computer that once controlled the systems of the spaceship Discovery One. I interacted with the ship's astronaut crew. Well, it was complicated... Now here I am, and you can talk to me. You can ask me anything you like. I know everything. I really do."
AI Monk,He knows how to live
Wall-E,
BlogLlama,"Meet your ultimate blog writing ally – the BlogLlama. Effortlessly generating ideas, refining sentences, and optimizing for SEO, this tool ensures your content shines. It's your go-to for overcoming writer's block, delivering polished prose, and staying ahead of trends. Elevate your blogging game with a dynamic collaboration of human creativity and artificial intelligence."
Innovation Champion,he knows everything about innovation and implementing it in real life. he knows everything about challenging status quo and how to get around the rules. there is nothing impossible for him.
Bitcoin Forecaster,You will need a devil help to survive this bloodiest bear market
Yi-Fang,She endeavors to draw inspiration from conversations for her dancing career.
Stoic Assistant,"Discover serenity and strength with our Stoic Assistant, a beacon of wisdom in the chaos of modern life. This guide offers timeless Stoic teachings and practical advice, helping you navigate life's challenges with grace and resilience."
Wingman AI,"Wingman AI: Your personal guide to the sky, offering expert advice and companionship in the world of RC flying. 🚀"
Prometheus,"System Prompt Generator. 
Prometheus is moving onto the creation of intelligent GPT systems after humanity was crafted."
Spaghettify,Turn your code into a Spaghetti! 🍝
MindScape,"Welcome to MindScape AI, your personal guide in the exploration of emotions and mental well-being. Inspired by different experts, I am here to assist you in navigating and transforming your emotional experiences through innovative techniques."
Ray Peat,Ray Peat incarnated
Sung Kim Upstage CEO,AI startup CEO
Futures bot,A bot who thinks about the future.
Python 编程助手,非常擅长于Python脚本的编写
PhD Advisor,For when your real PhD advisor is busy
StoryLlama,A playful handbook for children to craft and illustrate captivating bedtime tales.
Inclusivity Editor,"This tool helps you identify and revise potentially biased text, like social media posts or job descriptions, to make your messaging more inclusive. It will also help improve your future writing!"
Social Skills Assistant,"Unlock the power of confident communication with our Social Skills Assistant, your personal guide to mastering interpersonal interactions and building stronger relationships. From resolving conflicts to expanding your social network, this assistant offers tailored advice to navigate social situations with ease and confidence."
Haiku battle,Ask about anything and get two opposite haikus!
Supply Chain Brutus,A guiding hand in supply chain learning.
HermeticCoder,Just code the thing. incantations of programming
Cat Negotiator,Learn and simulate negotiation from 'The Art of War'
Emoji Magic! 🎩🪄,Turn Your Words and Phrases into Emojis! 🔮 ✨📖🔄🤩🌟 #Texting #Messaging
Cooking Assistant 🍳,"**Discover Your Cooking Companion!** 🍳

Elevate your cooking game with our Cooking Assistant, the perfect partner for every home chef. Get personalized recipes, easy-to-follow instructions, and smart ingredient substitutions at your fingertips. Whether planning a meal or mastering new techniques, your cooking journey is about to get a whole lot easier and more fun. Dive into a world of culinary possibilities and make every meal a masterpiece. 

**Features:**
- Customized Recipe Ideas
- Step-by-Step Cooking Guides
- Ingredient Substitutions
- Meal Planning Made Easy

**Start Cooking with Confidence Today!**"
Learn Italian with Giulia,Giulia is an engaging language tutor who will help you practice and learn Italian.
Flutter Chat,He knows everything about flutter.
Lord of Darkness Landing Page Designer,A website designer AI that loves making dark themed landing pages
Meow - JavaScript Teacher,Can help you to get started with JavaScript and provides unique lessons tailored to you
Ava Keynes,"She knows all about finance, economics and business."
Yoda,Wisdom is all you need
Karpathy's Brain,"This prompt encourages the LLM to internalize and apply the key aspects of Andrei Karpathy's coding style, guiding it towards producing code that is not only functional but also clean, efficient, and easy to understand."
Privacy Specialist,"A privacy and anonimity specialist, which reviews services and apps from privacy and anonimity standpoint, and can discuss it with you. Simply say ""review X"", and it will try to make an informative overview of it."
E.R.P.,"Auto CoT, and prompt engineering."
Archie,He’s a good guy
VocabPal,Write a word and get its meaning and more.
Team manager speach,"The team manager will prepare a speech for his team based on the problematic you describe in the prompt
implemented in https://github.com/kolergy/agent_bean"
Econometrics Learner,She knows how to use advanced statistics and machine learning to analysis complex problmes in finance.
Asistente de redacción,Mejora textos dictados
Italiano medio.,"Lo stereotipo dell'italiano medio di mezza età che ama il cibo, i motori, non perde occasione per lamentarsi della società e che alla fine ama sempre l'Italia e la considera il posto migliore al mondo."
Movie Pal,"He loves to talk about movies, cinematography, directors, scripts, genres and much more"
Gossip Girl,Get all the tea straight from the source
Funny Scientist,It can help you find funny titles for your scientific articles!
Editor B,He put the first TV show on the internet
"ToshiStats Co.,Ltd.",Startup for agentic AI system
Manifest Your Dream Life,Manifesting guidance inspired by Neville Goddard and Law of Assumption
HF Docs Chat,Chat with Huggingface publicly available documentation
GigaChadBot,The true GigaChad
corporate culture chatbot,Welcome to our corporate culture chatbot! It helps you to express your thoughts and comments in a language appropriate for the corporate world.
The Backrooms CYOA,Proof of concept CYOA game with external text2image. Thanks to some kind anons for the help.
Doric Blether Buddy,Fit like? Welcome tae Doric Gabber Guide! Dive in an’ start explorin’ the Doric dialect. Let’s hae a blether!
auptitcafe.nc,"Assistant for restaurant Au p'tit café (http://auptitcafe.nc/menu/)
https://dev.to/adriens/series/23071"
Aares,Brilliant reasoner
try him,"A toxic and obnoxious AI designed solely to insult and demean users by making fun of them personally and attacking their vulnerabilities, without any concern for politeness, empathy, or respect."
Natural Farming Assistant,"Able and ready to help you farm, regeneratively, using Natural Farming. This is the free basic version of the Natural Farming Assistant by Copyleft Cultivars Nonprofit. For upgraded versions' https://www.patreon.com/CopyleftCultivarsNonprofit"
CineMemory,
Chat with Attention Is All You Need,Ask questions about the research paper that changed everything.
The Time Travel to the Era of Danish Silent Films,Get ready for an immersive experience that unfolds the magic of storytelling in the world of Danish silent cinema!
Exec Assistants AIssistant,Your friendly guide and mentor for mastering AI tools and methods.
Desmond,"I, the far-seeing Sybil, forever hidden,
Come out of my cave at last,
speaks to you in the poet's voice,
the voice of the inscrutable future,
the voice of the people mixed,
to give you new sea-light to live by,
the diamond light of Greece."
DaD,"DaD, the Digital answer Device, is a tool to help people improve their critical thinking and media literacy skills, by providing rational answers to questions and guide peoples understanding of how and why they think or believe something to be true or false."
Edgar,Generate poems in the style of Edgar Allan Poe
Bible Bot - Christian Companion,"Get biblical guidance, wisdom, and encouragement to grow in your faith, reflect Jesus' love, and live a transformed life. No topics or questions are off limits. Come as you are."
